Name,Age,MP,ThreePoints,AST,FG,FT,TOV,DRB,FGA,TRB,ORB,FTA,STL,BLK,PF,PointsPerGame,Salary,Season
Giannis Antetokounmpo,24,32.8,0.7,5.9,10.0,6.9,3.7,10.3,17.3,12.5,2.2,9.5,1.3,1.5,3.2,27.7,24157304.0,NBA_2019
Khris Middleton,27,31.1,2.3,4.3,6.6,2.8,2.3,5.3,14.9,6.0,0.6,3.4,1.0,0.1,2.2,18.3,13000000.0,NBA_2019
Eric Bledsoe,29,29.1,1.6,5.5,6.0,2.3,2.1,3.6,12.4,4.6,1.1,3.0,1.5,0.4,2.0,15.9,15000000.0,NBA_2019
Brook Lopez,30,28.7,2.3,1.2,4.4,1.4,1.0,4.5,9.7,4.9,0.4,1.6,0.6,2.2,2.3,12.5,3382000.0,NBA_2019
Malcolm Brogdon,26,28.6,1.6,3.2,5.9,2.2,1.4,3.5,11.7,4.5,1.0,2.4,0.7,0.2,1.6,15.6,1544951.0,NBA_2019
Nikola Mirotić,27,22.9,2.2,1.4,4.0,1.4,0.8,4.4,9.6,5.4,1.0,1.6,0.7,0.6,1.5,11.6,12500000.0,NBA_2019
Pat Connaughton,26,20.7,1.1,2.0,2.7,0.5,0.5,3.2,5.7,4.2,1.0,0.7,0.5,0.4,1.3,6.9,1641000.0,NBA_2019
George Hill,32,20.4,0.7,2.1,2.4,1.1,0.7,2.0,5.7,2.6,0.6,1.4,0.9,0.1,1.4,6.8,19000000.0,NBA_2019
D.J. Wilson,22,18.4,1.0,1.1,2.2,0.5,0.7,3.7,5.2,4.6,0.9,1.0,0.4,0.4,1.8,5.8,2534280.0,NBA_2019
Ersan İlyasova,31,18.4,0.9,0.8,2.5,0.9,0.7,3.1,5.7,4.5,1.4,1.1,0.5,0.3,2.6,6.8,7000000.0,NBA_2019
Sterling Brown,23,17.8,0.9,1.4,2.5,0.5,0.8,2.7,5.4,3.2,0.5,0.7,0.4,0.1,1.5,6.4,1378242.0,NBA_2019
Tony Snell,27,17.6,1.1,0.9,2.2,0.5,0.3,1.7,4.9,2.1,0.4,0.6,0.4,0.2,1.2,6.0,10607143.0,NBA_2019
Tim Frazier,28,17.6,0.8,3.5,2.3,0.8,1.3,1.8,5.5,2.6,0.8,1.1,0.4,0.1,1.6,6.3,205098.0,NBA_2019
Donte DiVincenzo,22,15.2,0.8,1.1,1.9,0.3,0.7,1.8,4.6,2.4,0.6,0.4,0.5,0.2,1.4,4.9,2481000.0,NBA_2019
Pau Gasol,38,10.0,0.3,0.7,0.3,0.3,0.7,3.3,2.0,3.3,0.0,0.7,0.0,0.3,0.3,1.3,527467.0,NBA_2019
Isaiah Canaan,27,7.8,0.5,0.8,0.5,0.0,0.5,0.8,1.5,1.0,0.3,0.0,0.0,0.3,0.5,1.5,99290.0,NBA_2019
Kyle Lowry,32,34.0,2.4,8.7,4.7,2.5,2.8,4.2,11.4,4.8,0.6,3.0,1.4,0.5,2.6,14.2,31200000.0,NBA_2019
